feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Feature28	Metadata4_TP	Metadata4_TP	-0.114363551613852	0.0240800110589995	1500	1500	2.23699337420983e-06	1.99731551268735e-05
Feature47	Metadata4_TP	Metadata4_TP	-0.135835178674657	0.0288256673727532	1500	1500	2.67724842434008e-06	2.30797277960351e-05
Feature3	Metadata4_TP	Metadata4_TP	-0.102796905664136	0.0232227116084508	1500	1500	1.0269567374643e-05	8.55797281220249e-05
Feature35	Metadata4_TP	Metadata4_TP	-0.121471959993098	0.027763106059664	1500	1500	1.29674678399086e-05	0.00010457635354765
Feature48	Metadata4_TP	Metadata4_TP	-0.120550939035623	0.0276149667103121	1500	1500	1.35599973816227e-05	0.000105937479543928
Feature31	Metadata4_TP	Metadata4_TP	-0.0994642555620269	0.0231202441816803	1500	1500	1.80215926425734e-05	0.000136527216989193
Feature49	Metadata4_TP	Metadata4_TP	-0.10938936316318	0.0262347121475432	1500	1500	3.22605837154407e-05	0.000237210174378241
Feature1	Metadata4_TP	Metadata4_TP	-0.106575716909719	0.0262623782760615	1500	1500	5.20290209732601e-05	0.000371635864094715
Feature41	Metadata4_TP	Metadata4_TP	-0.0885096997512302	0.0224837746597245	1500	1500	8.64435959511943e-05	0.000600302749661071
Feature10	Metadata4_TP	Metadata4_TP	-0.104252526869413	0.02779291685457	1500	1500	0.000182827672551032	0.0012353221118313
Feature43	Metadata4_TP	Metadata4_TP	-0.108525050720325	0.0290449619511847	1500	1500	0.000193663592529336	0.00127410258242984
Feature26	Metadata4_TP	Metadata4_TP	-0.0905197336552884	0.0246065351068704	1500	1500	0.000242756245713591	0.00155612978021533
Feature33	Metadata4_TP	Metadata4_TP	-0.0964447664292292	0.0268426130283223	1500	1500	0.000337533881871416	0.00210958676169635
Feature4	Metadata4_TP	Metadata4_TP	-0.0953767866183188	0.0266729824763013	1500	1500	0.000360306417828858	0.00217742228535151
Feature40	Metadata4_TP	Metadata4_TP	-0.0881658894160896	0.0246839972431361	1500	1500	0.000365806943939053	0.00217742228535151
Feature37	Metadata4_TP	Metadata4_TP	-0.0950084278252076	0.0271030783281904	1500	1500	0.000469311975654339	0.00269382013500419
Feature46	Metadata4_TP	Metadata4_TP	-0.0929031539574103	0.0265231805707988	1500	1500	0.000474112343760738	0.00269382013500419
Feature34	Metadata4_TP	Metadata4_TP	-0.0858908320043895	0.0252008142172061	1500	1500	0.000671176833526625	0.00372876018625903
